Tribunal;Processo;Ano;Codigos assuntos;Polo ativo;Polo ativo - Natureza juridica;Polo passivo;Polo passivo - Natureza juridica
TRF5;0811894-21.2024.4.05.0000;2024;{12496,12494};{SECRETARIA DE ESTADO DA FAZENDA};{ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL};;
TRF5;0810303-42.2022.4.05.8100;2024;{12494};{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DO CEARA,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0801797-53.2022.4.05.8302;2024;{12496};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0800264-56.2022.4.05.8400;2024;{12495};{ADVOCACIA GERAL DA UNIAO,ESTADO DO RIO GRANDE DO NORTE};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};;
TRF5;0802385-26.2023.4.05.8302;2024;{12494};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO,DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL,ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0800318-83.2021.4.05.8100;2024;{12495};{ESTADO DO CEARA,MUNICIPIO DE FORTALEZA};{ESTADO OU DISTRITO FEDERAL,MUNICIPIO};;
TRF5;0801392-03.2020.4.05.8200;2024;{12494};{ADVOCACIA GERAL DA UNIAO,ESTADO DA PARAIBA};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0807678-80.2023.4.05.8300;2024;{12496};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{ESTADO DE PERNAMBUCO};{ESTADO OU DISTRITO FEDERAL}
TRF5;0816444-59.2024.4.05.0000;2024;{12496};{ESTADO DO RIO GRANDE DO NORTE};{ESTADO OU DISTRITO FEDERAL};;
TRF5;0811540-57.2021.4.05.8000;2024;{14759};{ADVOCACIA GERAL DA UNIAO,MUNICIPIO DE PASSO DE CAMARAGIBE};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,MUNICIPIO};;
TRF5;0804399-23.2024.4.05.0000;2024;{12496,9196};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};{DEFENSORIA PUBLICA DA UNIAO};{ORGAO PUBLICO AUTONOMO FEDERAL}
TRF5;0810487-77.2022.4.05.8300;2024;{12496};{ADVOCACIA GERAL DA UNIAO,ESTADO DE PERNAMBUCO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL,ESTADO OU DISTRITO FEDERAL};;
TRF5;0813468-45.2023.4.05.8300;2024;{12496};{ADVOCACIA GERAL DA UNIAO};{ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL};;
